,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
8435,Department of Natural Resources,Red Hills State Park - Lawrence County,R.r. 2 Box 252a,Sumner,62466,Lawrence,15,John Shimkus,109,Reis David B.,55,Dale A. Righter,In Progress,2010,2010,144,1,1,0,Unusual,Unusual,Not provided
8436,Department of Transportation,Bolingbrook Maintenance Storage Facility - Will County,Rr 5 Bolingbrook,Bolingbrook,60439,Will,11,Bill Foster,85,Connor John,43,Pat McGuire,In Progress,2010,2010,3200,1,1,0,Storage,Storage,Not provided
8442,Department of Transportation,Bridge and Landscape Maintenance Facility,East 12th Road & I80,Ottawa,61350,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Progress,2011,2011,4608,1,1,0,Storage,Storage,Not provided
8447,Department of Transportation,Kampsville Ferry,Corner Of Joliet & Marquette,Kampsville,62053,Calhoun,13,Rodney L. Davis,100,Davidsmeyer C. D.,50,Wm. Sam McCann,In Progress,2011,2011,2258,2,2,0,Business,Storage,Not provided
8453,Department of Military Affairs,Camp Lincoln (Springfield) - Sangamon County,1301 North MacArthur Boulevard,Springfield,62702,Sangamon,13,Rodney L. Davis,87,Butler Tim,44,William E. Brady,In Use,0,2011,1925,1,1,0,Business,Business,Not provided
8454,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,48,1,1,0,Unusual,Unusual,Not provided
8455,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,24,1,1,0,Unusual,Unusual,Not provided
8456,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2010,2010,24,1,1,0,Unusual,Unusual,Not provided
8457,Department of Military Affairs,Sparta Armory - Randolph County,1803 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,144,1,1,0,Unusual,Unusual,Not provided
8458,Department of Military Affairs,Sparta Armory - Randolph County,1803 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,120,1,1,0,Unusual,Unusual,Not provided
8459,University of Illinois,University of Illinois Urbana-Champaign,306 North Wright Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Progress,2013,2013,230665,7,6,1,Education,Business,Not provided
8460,Southern Illinois University,Southern Illinois University - Edwardsville,Siue,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Progress,2012,2012,136000,4,4,0,Education,Business,Not provided
8462,Department of Transportation,Oregon Maintenance Storage Facility - Ogle Co.,511 Hill Street,Oregon,61061,Ogle,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2011,2011,4000,1,1,0,Storage,Storage,Not provided
8464,Department of Military Affairs,Sparta Armory - Randolph County,1851 Hill Crest Dr,Sparta,62286,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Progress,2011,2011,6592,1,1,0,Industrial,Storage,Not provided
8478,Southern Illinois University,Southern Illinois University - Edwardsville,5200 New Poag Road,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2010,2010,1782,1,1,0,Unusual,Unusual,Not provided
8484,Southern Illinois University,Southern Illinois University - Edwardsville,49 Prairie Drive,Edwardsville,62026,Madison,13,Rodney L. Davis,112,Stuart Katie,56,William R. Haine,In Use,2010,2010,300,2,2,0,Education,Education,Not provided
8592,Department of Transportation,Galva Sub section,818 Se First St.,Galva,61434,Henry,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,2011,2011,4072,1,1,0,Storage,Storage,Not provided
8593,Department of Transportation,Morris Maintenance Storage Facility,Rt. 6 At Hoover Street,Morris,60450,Grundy,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Progress,2012,2012,4608,1,1,0,Storage,Storage,Not provided
8603,Department of Transportation,Mt. Vernon Maintenance Storage Facility - Jefferson Co.,1 Fountain Place,Mt Vernon,62864,Jefferson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Progress,2012,2012,4000,1,1,0,Storage,Storage,Not provided
8604,Department of Transportation,Salem Maintenance Yard - Marion Co.,707 South Marion,Salem,62881,Marion,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Progress,2012,2012,6300,1,1,0,Storage,Storage,Not provided
8615,Department of Natural Resources,Shelbyville State Fish & Wildlife Area - Moultrie County,"R.r. #1, Box 42-a",Bethany,61914,Moultrie,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Progress,2011,2011,144,1,1,0,Assembly,Assembly,Not provided
8616,Department of Natural Resources,Shelbyville State Fish & Wildlife Area - Moultrie County,"R.r. #1, Box 42-a",Bethany,61914,Moultrie,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Progress,2011,2011,24,1,1,0,Assembly,Assembly,Not provided
8617,Department of Natural Resources,Shelbyville State Fish & Wildlife Area - Moultrie County,"R.r. #1, Box 42-a",Bethany,61914,Moultrie,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Progress,2011,2011,600,1,1,0,Assembly,Assembly,Not provided
8618,Department of Transportation,Moline,I-74/i-280,Coal Valley,61240,Rock Island,17,Cheri Bustos,72,Halpin Michael,36,Neil Anderson,In Use,2012,2012,700,1,1,0,Unusual,Unusual,Not provided
8619,Department of Transportation,Moline,I-74/i-280,Coal Valley,61240,Rock Island,17,Cheri Bustos,72,Halpin Michael,36,Neil Anderson,In Use,2012,2012,700,1,1,0,Unusual,Unusual,Not provided
8620,Department of Transportation,Carthage Maintenance Equipment - Hancock County,115 South Lincoln Street,Carthage,62321,Hancock,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Use,2012,2012,4071,1,1,0,Storage,Storage,Not provided
8621,Department of Transportation,Fairview Heights Maintenance Storage Facility - St. Clair C,9601 St. Clair Avenue,Fairview Heights,62208,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Progress,2012,2012,1963,1,1,0,Storage,Storage,Not provided
8622,Department of Transportation,"District 8, Carrollton Yard",R.r. 3 Box 248a,Carrollton,62016,Greene,13,Rodney L. Davis,100,Davidsmeyer C. D.,50,Wm. Sam McCann,In Progress,2012,2012,4070,1,1,0,Storage,Storage,Not provided
8624,Department of Military Affairs,Maneuver Enhancement Brigade Facility - McLean County,1500 West Rabb Road,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Progress,2014,2014,56750,1,1,0,Business,Business,Not provided
8625,Department of Military Affairs,Maneuver Enhancement Brigade Facility - McLean County,1500 West Rabb Road,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Progress,2014,2014,2100,1,1,0,Storage,Storage,Not provided
8626,Department of Military Affairs,Kankakee Aviation Support Facility,1192 County Highway 35,Kankakee,60901,Kankakee,2,Robin Kelly,79,Parkhurst Lindsay,40,Toi W. Hutchinson,In Progress,2016,2016,184000,2,2,0,Business,Storage,Not provided
8628,Southern Illinois University,Southern Illinois University Food Production,2551 Union Hill Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2011,2011,2816,1,1,0,Education,Storage,Not provided
8629,Southern Illinois University,Southern Illinois University Food Production,2194 Union Hill Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2011,2011,2434,1,1,0,Education,Storage,Not provided
8630,Southern Illinois University,Southern Illinois University Food Production,2704 Union Hill Road,Carbondale,62901,Jackson,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2011,2011,10845,2,2,0,Education,Storage,Not provided
8633,Department of Transportation,Shelbyville Storage Facility - Shelby County,R.r. 3 Box 39,Shelbyville,62565,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2011,2011,3840,1,1,0,Storage,Storage,Storage
8634,Department of Transportation,Champaign Maintenance Storage Facility - Champaign County,201 Eisner Road,Champaign,61820,Champaign,13,Rodney L. Davis,104,Hays Chad,52,Scott M. Bennett,In Progress,2012,2012,2400,1,1,0,Storage,Storage,Not provided
8635,Department of Transportation,Marshall Maintenance Storage Facility - Clark County,I-70 Westbound,Marshall,62441,Clark,15,John Shimkus,110,Phillips Reginald,55,Dale A. Righter,In Use,2012,2012,900,1,1,0,Unusual,Unusual,Not provided
8638,Department of Transportation,Flora Storage Building - Clay County,"R.r. #2, Box 362",Flora,62839,Clay,15,John Shimkus,108,Meier Charles,54,Kyle McCarter,In Progress,2012,2012,5280,1,1,0,Storage,Storage,Not provided
8639,Department of Transportation,Newton,South 1st Avenue,Newton,62448,Jasper,15,John Shimkus,109,Reis David B.,55,Dale A. Righter,In Progress,2012,2012,2464,1,1,0,Storage,Storage,Not provided
8640,Department of Transportation,Havana Maintenance Yard - Mason County,15536 North State Route 78,Havana,62644,Mason,0,,90,Demmer Tom,45,Tim Bivins,In Progress,2012,2012,1200,1,1,0,Storage,Storage,Not provided
8647,Western Illinois University,Western Illinois University - Macomb,1 University Circle,Macomb,61455,McDonough,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Progress,2015,2015,105000,7,6,1,Assembly,Education,Not provided
8650,Western Illinois University,Western Illinois University - Macomb,1215 Tower Road,Macomb,61455,McDonough,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2010,2010,1200,1,1,0,Storage,Storage,Not provided
8659,Western Illinois University,WIU Quad Cities Campus - Moline,3300 River Drive,Moline,61265,Rock Island,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Progress,2014,2014,84120,2,2,0,Education,Education,Not provided
8660,Western Illinois University,WIU Quad Cities Campus - Moline,3300 River Drive,Moline,61265,Rock Island,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Progress,2014,2014,84120,2,2,0,Education,Education,Not provided
8661,Western Illinois University,WIU Quad Cities Campus - Moline,3300 River Drive,Moline,61265,Rock Island,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Progress,2014,2014,94830,3,3,0,Education,Education,Not provided
8664,Department of Transportation,Mississippi Rapids Rest Area - District 2,1500 214th Street North,"East Moline, IL",61244,Rock Island,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Progress,0,2014,5000,1,0,0,Storage,Storage,Not provided
