,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
8706,Department of Transportation,Marion Maintenance Facility - Williamson County,705 Robinson,Marion,62959,Williamson,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Progress,2015,2015,8101,1,0,0,Storage,Storage,Not provided
8707,Department of Transportation,Enfield Maintenance Storage Facility,611 North First Street,Enfield,62835,White,15,John Shimkus,109,Reis David B.,55,Dale A. Righter,In Progress,2015,2015,1290,1,0,0,Unusual,Storage,Not provided
8708,Illinois Community College Board,Lewis and Clark Community College - Godfrey,5800 Godfrey Road,Godfrey,62035,Madison,13,Rodney L. Davis,111,Beiser Daniel V.,56,William R. Haine,In Progress,0,2015,16530,2,1,0,Education,Assembly,Not provided
8709,University of Illinois,University of Illinois - Springfield,2141 University Drive,Springfield,62703,Sangamon,13,Rodney L. Davis,99,Wojcicki Jimene Sara,50,Wm. Sam McCann,In Progress,2015,2015,8283,1,0,0,Business,Business,Not provided
8710,Department of Human Services,Fox Developmental Center - Dwight,134 West Main Street,Dwight,60420,Livingston,16,Adam Kinzinger,106,Bennett Thomas M.,53,Jason A. Barickman,In Progress,2014,2014,1920,1,0,0,Storage,Storage,Not provided
8711,Illinois Community College Board,Joliet Junior College - Will County,235 N Chicago St.,Joliet,60432,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Progress,2016,2014,99068,6,0,0,Education,Assembly,Not provided
8713,Department of Human Services,Rushville Treatment and Detention Facility,17019 County Farm Road,Rushville,62681,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2014,2014,36000,1,0,0,Detention & Correc,Health Care,Not provided
8714,Department of Transportation,Rapids City,4125 I-80 West,Rapid City,61278,Whiteside,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Use,2015,2015,696,1,0,0,Business,Storage,Not provided
8715,Department of Transportation,Rapids City,2919 I-80 West Unit B,Rapid City,61278,Whiteside,17,Cheri Bustos,71,McCombie Tony,36,Neil Anderson,In Use,2015,2015,696,1,0,0,Business,Storage,Not provided
8716,Department of Natural Resources,Sangchris Lake State Park - Christian County,9898 Cascade Road,Rochester,62563,Christian,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Progress,2014,2014,80,1,0,0,Assembly,Utiility & Miscellan,Not provided
8717,Department of Natural Resources,Sangchris Lake State Park - Christian County,9898 Cascade Road,Rochester,62563,Christian,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Progress,2014,2014,10,1,0,0,Assembly,Utiility & Miscellan,Not provided
8718,Western Illinois University,Western Illinois University - Macomb,2271 Wigwam Hollow Road,Macomb,61455,McDonough,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2014,2014,1800,1,0,0,Assembly,Assembly,Not provided
